branch	field	M1	M2	q
### Switching fields: 0.76, 0.2
1	0.00	0.000000	0.000000	3.50
-1	0.00	0.000000	0.000000	3.50
-1	0.12	0.030074	0.030074	3.49
1	0.10	0.025062	0.025062	3.49
-1	0.09	0.022546	0.022546	3.50
1	0.14	0.035086	0.035086	3.49
1	0.03	0.007440	0.007440	3.50
1	0.02	0.004960	0.004960	3.50
-1	0.02	0.004960	0.004960	3.50
-1	0.03	0.007449	0.007449	3.50
1	0.07	0.017381	0.017381	3.50
-1	0.01	0.002480	0.002480	3.50
1	0.01	0.002480	0.002480	3.50
-1	0.04	0.009932	0.009932	3.50
-1	0.22	0.067465	0.067465	2.20
1	0.04	0.009932	0.009932	3.50
-1	0.07	0.017381	0.017381	3.50
1	0.06	0.014898	0.014898	3.50
1	0.05	0.012415	0.012415	3.50
1	0.25	0.062737	0.062737	3.46
-1	0.25	0.076665	0.076665	2.20
1	0.27	0.067786	0.067787	3.45
-1	0.06	0.014898	0.014898	3.50
-1	0.17	0.042210	0.042210	3.48
1	0.17	0.042210	0.042210	3.48
-1	0.16	0.039727	0.039727	3.48
1	0.20	0.049666	0.049665	3.47
1	0.18	0.044679	0.044679	3.48
-1	0.18	0.044679	0.044679	3.48
-1	0.14	0.034735	0.034735	3.49
1	0.13	0.032254	0.032254	3.49
1	0.19	0.047161	0.047161	3.48
-1	0.19	0.047161	0.047161	3.48
-1	0.13	0.032254	0.032254	3.49
1	0.16	0.039727	0.039727	3.48
1	0.15	0.037245	0.037244	3.49
-1	0.15	0.037245	0.037244	3.49
-1	0.08	0.019864	0.019864	3.50
-1	0.11	0.027313	0.027313	3.49
-1	0.20	0.049666	0.049665	3.47
-1	0.10	0.024830	0.024830	3.49
1	0.08	0.019864	0.019864	3.50
1	0.11	0.027313	0.027313	3.49
1	0.09	0.022347	0.022347	3.50
1	0.21	0.052149	0.052149	3.47
-1	0.21	0.060671	0.060671	2.31
-1	0.23	0.070532	0.070532	2.20
1	0.24	0.059626	0.059626	3.46
1	0.23	0.057115	0.057115	3.47
1	0.22	0.055184	0.055184	3.47
1	0.28	0.069594	0.069595	3.45
1	0.26	0.065247	0.065247	3.46
-1	0.42	0.128794	0.128794	2.20
-1	0.24	0.072862	0.072862	2.20
-1	0.26	0.078934	0.078934	2.20
1	0.29	0.072079	0.072080	3.45
1	0.30	0.074599	0.074599	3.44
-1	0.27	0.081970	0.081970	2.20
-1	0.28	0.085005	0.085006	2.20
-1	0.29	0.088041	0.088041	2.20
-1	0.30	0.091077	0.091077	2.20
1	0.31	0.077086	0.077086	3.44
1	0.37	0.092136	0.092136	3.41
1	0.40	0.099655	0.099655	3.40
1	0.34	0.084585	0.084585	3.43
-1	0.31	0.094113	0.094113	2.20
1	0.33	0.082098	0.082098	3.43
-1	0.39	0.118399	0.118399	2.20
1	0.41	0.102197	0.102197	3.39
1	0.42	0.104690	0.104690	3.39
1	0.43	0.107236	0.107236	3.38
1	0.45	0.112279	0.112281	3.37
1	0.44	0.109784	0.109786	3.37
1	0.32	0.080376	0.080376	3.44
-1	0.33	0.100184	0.100184	2.20
1	0.39	0.097103	0.097104	3.40
1	0.35	0.087062	0.087062	3.42
-1	0.34	0.104263	0.104263	2.20
-1	0.32	0.097148	0.097149	2.20
-1	0.38	0.116528	0.116528	2.20
-1	0.40	0.121434	0.121435	2.20
1	0.38	0.094626	0.094626	3.41
1	0.36	0.089603	0.089603	3.42
1	0.46	0.114833	0.114834	3.36
-1	0.43	0.130541	0.130542	2.20
-1	0.41	0.124470	0.124470	2.20
-1	0.35	0.106256	0.106256	2.20
1	0.47	0.117391	0.117391	3.35
-1	0.44	0.133577	0.133577	2.20
-1	0.37	0.112327	0.112327	2.20
-1	0.36	0.109291	0.109292	2.20
1	0.49	0.122450	0.122450	3.34
-1	0.45	0.136613	0.136613	2.20
-1	0.46	0.139648	0.139649	2.20
1	0.48	0.121162	0.121163	3.34
1	0.49	0.125015	0.125016	3.33
-1	0.49	0.148755	0.148755	2.20
-1	0.47	0.142684	0.142684	2.20
-1	0.50	0.154826	0.154827	2.20
-1	0.48	0.145719	0.145720	2.20
1	0.51	0.130157	0.130157	3.31
1	0.52	0.132659	0.132660	3.31
1	0.53	0.135238	0.135239	3.30
-1	0.52	0.160897	0.160898	2.20
1	0.50	0.127586	0.127586	3.32
-1	0.51	0.157862	0.157862	2.20
1	0.57	0.145587	0.145587	3.26
1	0.58	0.148185	0.148186	3.25
1	0.59	0.150787	0.150787	3.24
-1	0.49	0.151791	0.151791	2.20
1	0.54	0.137820	0.137820	3.29
1	0.61	0.156102	0.156104	3.21
-1	0.59	0.182146	0.182146	2.20
1	0.55	0.140406	0.140407	3.28
1	0.63	0.161554	0.161555	3.17
-1	0.60	0.185181	0.185182	2.20
-1	0.53	0.163933	0.163933	2.20
1	0.65	0.166944	0.166944	3.14
-1	0.62	0.191252	0.191253	2.20
1	0.64	0.164188	0.164191	3.16
1	0.66	0.169712	0.169713	3.12
1	0.68	0.175161	0.175161	3.09
1	0.60	0.153395	0.153397	3.23
-1	0.64	0.197323	0.197324	2.20
-1	0.54	0.166968	0.166969	2.20
-1	0.63	0.194288	0.194288	2.20
1	0.62	0.158821	0.158822	3.19
1	0.69	0.177835	0.177834	3.08
1	0.56	0.141905	0.141906	3.27
-1	0.55	0.170004	0.170004	2.20
1	0.70	0.180651	0.180652	3.06
1	0.71	0.183634	0.183636	3.03
-1	0.56	0.173039	0.173040	2.20
-1	0.58	0.179110	0.179111	2.20
-1	0.57	0.176075	0.176075	2.20
1	0.73	0.190054	0.190054	2.95
-1	0.65	0.200359	0.200359	2.20
1	0.72	0.186816	0.186816	2.99
1	0.67	0.171551	0.171551	3.11
-1	0.68	0.209465	0.209465	2.20
-1	0.61	0.188217	0.188217	2.20
-1	0.70	0.215535	0.215536	2.20
-1	0.66	0.203394	0.203394	2.20
1	0.75	0.202408	0.202408	2.65
-1	0.71	0.218571	0.218571	2.20
1	0.74	0.193361	0.193362	2.91
-1	0.73	0.224641	0.224642	2.20
1	0.77	0.236782	0.236783	2.20
-1	0.74	0.227676	0.227677	2.20
-1	0.76	0.233747	0.233747	2.20
-1	0.69	0.212500	0.212500	2.20
1	0.78	0.239817	0.239818	2.20
-1	0.77	0.236782	0.236783	2.20
-1	0.72	0.221606	0.221606	2.20
-1	0.78	0.239817	0.239818	2.20
-1	0.81	0.248923	0.248923	2.20
-1	0.80	0.245888	0.245888	2.20
-1	0.83	0.254993	0.254994	2.20
1	0.83	0.254993	0.254994	2.20
-1	0.79	0.242853	0.242853	2.20
-1	0.85	0.261063	0.261064	2.20
