branch	field	M1	M2	q
### Switching fields:  0.98, 0.26
-1	0.00	0.000000	0.000000	4.00
1	0.00	0.000000	0.000000	4.01
1	0.09	0.022180	0.022180	4.00
-1	0.10	0.024644	0.024644	4.00
-1	0.03	0.007319	0.007319	4.00
1	0.03	0.007319	0.007319	4.00
1	0.02	0.004878	0.004878	4.01
-1	0.01	0.002440	0.002440	4.00
-1	0.02	0.004880	0.004880	4.00
-1	0.08	0.019518	0.019518	4.00
1	0.07	0.017081	0.017081	4.00
1	0.06	0.014641	0.014641	4.00
1	0.08	0.019521	0.019521	4.00
1	0.04	0.009761	0.009761	4.00
-1	0.04	0.009761	0.009761	4.00
-1	0.05	0.012201	0.012201	4.00
-1	0.07	0.017081	0.017081	4.00
-1	0.06	0.014641	0.014641	4.00
1	0.27	0.066572	0.066572	3.98
1	0.01	0.002439	0.002439	4.01
1	0.05	0.012201	0.012201	4.00
-1	0.09	0.021958	0.021958	4.00
-1	0.21	0.051243	0.051243	3.98
-1	0.20	0.048803	0.048803	3.98
1	0.10	0.024398	0.024398	4.00
1	0.14	0.034157	0.034157	4.00
1	0.19	0.046367	0.046367	3.99
1	0.20	0.048807	0.048808	3.99
-1	0.19	0.046367	0.046367	3.99
1	0.17	0.041486	0.041486	3.99
1	0.16	0.039036	0.039036	4.00
1	0.21	0.051230	0.051230	3.99
-1	0.16	0.039033	0.039033	3.99
1	0.22	0.053688	0.053688	3.99
-1	0.22	0.053701	0.053702	3.98
1	0.13	0.031722	0.031722	4.00
1	0.15	0.036602	0.036602	4.00
1	0.11	0.026842	0.026842	4.00
-1	0.11	0.026842	0.026842	4.00
1	0.12	0.029282	0.029282	4.00
1	0.39	0.096257	0.096258	3.94
1	0.23	0.056142	0.056143	3.98
-1	0.14	0.034165	0.034165	3.99
-1	0.15	0.036606	0.036606	3.99
-1	0.12	0.029284	0.029285	3.99
-1	0.13	0.031725	0.031725	3.99
-1	0.17	0.041486	0.041486	3.99
1	0.18	0.043927	0.043927	3.99
-1	0.18	0.043927	0.043927	3.99
-1	0.23	0.056142	0.056143	3.98
1	0.24	0.058583	0.058584	3.98
1	0.31	0.075689	0.075689	3.97
1	0.25	0.061024	0.061025	3.98
1	0.26	0.063475	0.063476	3.98
